"Interval|""ms""|0|0|1","Utc|""ms""|0|0|1","RearRight|""""|0.0|5.0|50","RearLeft|""""|0.0|5.0|50","FrontLeft|""""|0.0|5.0|50","FrontRight|""""|0.0|5.0|50","Battery|""Volts""|0.0|20.0|1",,"AccelX|""G""|-3.0|3.0|25","AccelY|""G""|-3.0|3.0|25","AccelZ|""G""|-3.0|3.0|25","Yaw|""Deg/Sec""|-120|120|25","Pitch|""Deg/Sec""|-120|120|25","Roll|""Deg/Sec""|-120|120|25","RPM|""RPM""|0|12500|50","TPS|""%""|0.0|100.0|50","InjectorPW|""ms""|0.0|100.0|25","Baro|""kPa""|0|105|1","MAP|""kPa""|0|255|25","AFR|""ratio""|0.0|20.0|25","IAT|""C""|-20|205|25","EngineTemp|""C""|0|200|1","OilPressure|""psi""|0.0|200.0|50","OilTemp|""F""|0|300|1","FuelTemp|""C""|0|1024|1","Latitude|""Degrees""|-180.0|180.0|10","Longitude|""Degrees""|-180.0|180.0|10","Speed|""mph""|0.0|150.0|10","Distance|""mi""|0.0|0.0|10","Altitude|""ft""|0.0|4000.0|10","GPSSats|""""|0|20|10","GPSQual|""""|0|5|10","GPSDOP|""""|0.0|20.0|10","LapCount|""""|0|0|10","LapTime|""Min""|0.0|0.0|10","Sector|""""|0|0|10","SectorTime|""Min""|0.0|0.0|10","PredTime|""Min""|0.0|0.0|10","ElapsedTime|""Min""|0.0|0.0|10","CurrentLap|""""|0|0|10"
11189,0,0.51,0.88,0.48,0.4,,Min AccelX,,,,,,,4036,0,,,,,,,-9.43,,,,,,,,,,,,,,,,,
11209,0,0.51,0.88,0.48,0.4,,-1.49,-0.02,-0.06,-1.02,0,1,-1,4030,0,3.96,,15,22.01,25,,-9.43,,,,,,,,,,,,,,,,,
11229,0,0.51,0.88,0.48,0.39,,Min AccelY,,,,,,,4030,0,,,,,,,-9.43,,,,,,,,,,,,,,,,,
11249,0,0.51,0.88,0.48,0.4,,-1.32,-0.02,-0.05,-1.11,0,1,0,3966,0,3.92,,40,22.01,25,,-9.43,,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
11269,0,0.51,0.89,0.48,0.41,,Min AccelZ,,,,,,,3966,0,,,,,,,-11.7,,,,,,,,,,,,,,,,,
11289,0,0.51,0.88,0.49,0.41,,-1.71,-0.03,-0.07,-1.04,0,0,0,4025,0,3.93,,40,22.01,25,,-11.7,,,,,,,,,,,,,,,,,
11309,0,0.51,0.89,0.48,0.41,,Max AccelX,,,,,,,4025,0,,,,,,,-11.7,,,,,,,,,,,,,,,,,
11329,0,0.51,0.89,0.48,0.4,,1.72,0.03,-0.05,-1.08,0,0,0,4025,0,3.93,,16,22.01,25,,-11.7,,,,,,,,,,,,,,,,,
11349,0,0.51,0.89,0.48,0.41,,Max AccelY,,,,,,,4046,0,,,,,,,-11.7,,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
11369,0,0.52,0.9,0.49,0.4,,1.39,-0.02,-0.04,-1.1,0,0,0,4046,0,3.92,,0,22.01,25,,-14.85,,,,,,,,,,,,,,,,,
